                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7181,                 3.7588,                 1.9958,                0.00308,                      1,                0.73679,                0.30005,                 1.6664,                 3.5382,                 2.0902,                0.00046,                0.00046,                0.00046
                      2,                 1.5521,                 2.9363,                 1.7555,                0.40851,                0.83333,                0.49554,                 0.1671,                 1.8326,                 3.1038,                 3.6682,             0.00090898,             0.00090898,             0.00090898
                      3,                 1.5086,                 2.5944,                 1.7405,                0.51371,                0.58333,                 0.6052,                0.16444,                 2.2763,                 6.1936,                 3.7547,              0.0013263,              0.0013263,              0.0013263
                      4,                 1.4998,                 2.6644,                 1.7766,                0.40623,                   0.75,                0.41889,                0.14885,                 2.2916,                 8.8725,                 3.6703,              0.0017119,              0.0017119,              0.0017119
                      5,                 1.4957,                 2.6171,                 1.7671,                 0.2807,                0.33333,                0.33862,                0.12315,                 2.6057,                 11.783,                 3.3893,               0.001736,               0.001736,               0.001736
                      6,                 1.5522,                 2.3863,                 1.7377,                0.15899,                      1,                  0.494,                0.18629,                  1.508,                 47.362,                 2.6725,                0.00167,                0.00167,                0.00167
                      7,                 1.5051,                 1.9854,                 1.7259,                0.08913,                0.41667,                0.20085,                0.07107,                 1.8614,                 13.756,                 2.3637,               0.001604,               0.001604,               0.001604
                      8,                 1.5115,                 2.1518,                 1.7281,                0.18707,                0.82476,                0.19997,                0.06689,                 2.1948,                 4.6363,                  2.783,               0.001538,               0.001538,               0.001538
                      9,                 1.4794,                 2.0918,                 1.6841,                0.05414,                0.33333,                0.05364,                0.01698,                 2.0244,                 11.937,                  2.524,               0.001472,               0.001472,               0.001472
                     10,                 1.4549,                 1.8544,                 1.6243,                0.74716,                0.91667,                0.83831,                0.34682,                 1.8314,                 2.5132,                  2.672,               0.001406,               0.001406,               0.001406
                     11,                 1.4364,                 1.7395,                 1.6499,                0.74819,                0.74337,                0.74978,                0.39429,                 1.5554,                 3.8299,                 2.3541,                0.00134,                0.00134,                0.00134
                     12,                 1.4113,                 1.6624,                 1.6301,                0.61256,                0.66667,                0.49688,                0.26771,                 1.8939,                 2.3709,                 2.5417,               0.001274,               0.001274,               0.001274
                     13,                 1.3087,                 1.5664,                 1.5717,                0.60079,                0.62872,                0.60534,                0.26962,                 2.1721,                 1.8352,                 2.7962,               0.001208,               0.001208,               0.001208
                     14,                 1.4332,                 1.6265,                 1.6223,                0.73729,                      1,                0.79878,                0.32919,                 1.5357,                 1.9782,                 2.1485,               0.001142,               0.001142,               0.001142
                     15,                 1.2799,                 1.4836,                 1.5336,                 0.6559,                0.66667,                0.50117,                0.22527,                 2.1417,                 1.4256,                 2.6492,               0.001076,               0.001076,               0.001076
                     16,                 1.3617,                 1.5223,                 1.5809,                0.74622,                      1,                0.87452,                0.44814,                 1.5356,                 1.6993,                 2.0957,                0.00101,                0.00101,                0.00101
                     17,                 1.2286,                 1.5302,                 1.4871,                0.84111,                0.91667,                0.89455,                0.39097,                   2.09,                 1.5464,                 2.6845,               0.000944,               0.000944,               0.000944
                     18,                  1.381,                 1.3851,                 1.5688,                0.78556,                 0.9159,                0.88528,                0.45118,                 1.7651,                 1.5136,                 2.3191,               0.000878,               0.000878,               0.000878
                     19,                 1.2832,                 1.3537,                 1.5045,                0.67232,                0.83333,                0.86471,                0.52904,                 1.5132,                 1.3863,                 1.9773,               0.000812,               0.000812,               0.000812
                     20,                 1.2882,                 1.3811,                 1.5355,                0.83063,                0.91667,                0.94885,                0.47774,                 1.6211,                 1.1337,                 2.1304,               0.000746,               0.000746,               0.000746
                     21,                 1.0833,                 1.9256,                 1.4378,                0.82603,                0.83333,                0.88345,                0.48144,                 1.6196,                 1.2801,                 2.0646,                0.00068,                0.00068,                0.00068
                     22,                 1.0808,                 1.4039,                 1.5463,                0.78097,                0.89267,                0.78102,                0.36689,                 1.6301,                 1.0518,                 2.2132,               0.000614,               0.000614,               0.000614
                     23,                0.99205,                 1.1295,                 1.3926,                0.79855,                0.99153,                0.87592,                0.46659,                 1.4872,                0.95149,                 1.9699,               0.000548,               0.000548,               0.000548
                     24,                0.96721,                 1.1566,                  1.413,                0.84505,                 0.9095,                0.87192,                 0.4998,                 1.2998,                 0.8854,                 1.9546,               0.000482,               0.000482,               0.000482
                     25,                  1.061,                0.97708,                 1.5037,                0.79786,                 0.9875,                0.85133,                0.42332,                 1.4895,                 1.0754,                 2.0247,               0.000416,               0.000416,               0.000416
                     26,                 1.0019,                 1.2892,                  1.419,                0.79423,                      1,                0.91438,                 0.4076,                 1.8293,                 1.1238,                  2.151,                0.00035,                0.00035,                0.00035
                     27,                0.94601,                 1.1117,                 1.2889,                0.84542,                0.91188,                0.87592,                0.45629,                 1.4717,                0.91219,                 1.9612,               0.000284,               0.000284,               0.000284
                     28,                0.96285,                0.87425,                 1.3345,                0.85494,                0.98332,                0.85286,                0.43678,                 1.4056,                0.86888,                 1.8885,               0.000218,               0.000218,               0.000218
                     29,                0.91431,                0.88907,                 1.3503,                0.85703,                0.99915,                  0.865,                0.43898,                 1.4432,                0.85012,                 1.9342,               0.000152,               0.000152,               0.000152
                     30,                0.91203,                 0.8556,                 1.3082,                0.85334,                 0.9712,                0.90071,                0.48129,                 1.5089,                0.87472,                 1.9939,                8.6e-05,                8.6e-05,                8.6e-05
