                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0383,                0.87764,                 1.3023,                0.95494,                   0.92,                0.96871,                0.57896,                  1.527,                 1.0386,                 1.6961,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.0563,                0.84949,                 1.3384,                0.98205,                   0.88,                 0.9746,                0.57367,                 1.5534,                 1.0133,                 1.7218,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.0621,                0.85734,                 1.3175,                      1,                0.90863,                0.97959,                0.58465,                  1.432,                0.97236,                 1.6057,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0364,                0.90156,                 1.2996,                0.96101,                   0.88,                 0.9821,                0.67816,                 1.1963,                0.91452,                 1.4036,               0.000614,               0.000614,               0.000614
                     37,                 1.0815,                0.89765,                 1.3517,                0.97487,                   0.92,                0.98281,                0.67562,                 1.2213,                0.90915,                 1.4143,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0099,                0.85638,                 1.2807,                0.97546,                   0.92,                0.98566,                0.62444,                 1.3565,                0.92485,                 1.5279,              0.0005348,              0.0005348,              0.0005348
                     39,                  1.011,                0.80084,                 1.2899,                  0.923,                   0.96,                0.98474,                0.61479,                 1.4383,                0.93049,                 1.6059,              0.0004952,              0.0004952,              0.0004952
                     40,                0.98893,                0.78474,                 1.2738,                0.91526,                   0.96,                0.97298,                0.62955,                 1.3643,                0.91009,                 1.5303,              0.0004556,              0.0004556,              0.0004556
                     41,                 0.8029,                 1.6014,                  1.255,                0.89213,                0.99271,                0.97333,                0.61539,                 1.3575,                0.92186,                 1.5372,               0.000416,               0.000416,               0.000416
                     42,                0.91151,                 1.4093,                 1.3605,                0.89095,                0.98073,                0.97457,                0.61459,                 1.2703,                 1.0531,                 1.4957,              0.0003764,              0.0003764,              0.0003764
                     43,                0.76008,                 1.0681,                 1.1546,                 0.9147,                0.85827,                0.95931,                0.62525,                 1.2039,                 1.1944,                 1.4252,              0.0003368,              0.0003368,              0.0003368
                     44,                0.80377,                 1.0114,                 1.2381,                 0.8585,                   0.92,                0.95964,                0.59073,                 1.3143,                 1.1725,                 1.4823,              0.0002972,              0.0002972,              0.0002972
                     45,                0.76556,                0.92564,                 1.1733,                      1,                0.91144,                0.98389,                0.59313,                 1.3357,                   1.11,                 1.4964,              0.0002576,              0.0002576,              0.0002576
                     46,                0.80428,                0.93156,                  1.209,                0.99432,                   0.92,                0.98167,                0.58483,                 1.3671,                 1.1422,                 1.5267,               0.000218,               0.000218,               0.000218
                     47,                0.72874,                0.82069,                 1.1679,                0.98891,                   0.92,                0.98167,                0.60741,                 1.3511,                 1.1302,                 1.5092,              0.0001784,              0.0001784,              0.0001784
                     48,                0.76405,                0.84814,                 1.2441,                0.98553,                   0.92,                0.98167,                0.61819,                 1.2746,                 1.0359,                 1.4294,              0.0001388,              0.0001388,              0.0001388
                     49,                0.76031,                0.79084,                 1.1465,                0.98123,                   0.92,                0.98167,                0.63167,                 1.2769,                 1.0118,                 1.4282,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.73079,                0.83917,                 1.1526,                0.99297,                   0.92,                0.98389,                0.64933,                  1.259,                 0.9812,                 1.4143,               5.96e-05,               5.96e-05,               5.96e-05
