                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0278,                 2.6149,                 2.2494,                0.00397,                      1,                0.77236,                0.38563,                0.76914,                 3.0923,                 1.2487,                 0.0001,                 0.0001,                 0.0001
                      2,                  1.608,                 2.1685,                 1.7749,                0.00397,                      1,                0.85774,                0.38194,                 1.2018,                 3.0306,                 1.5321,             0.00021564,             0.00021564,             0.00021564
                      3,                 1.3754,                 1.5806,                 1.6601,                0.81122,                0.68784,                0.91317,                0.49502,                 1.2747,                 2.6082,                 1.4976,             0.00032654,             0.00032654,             0.00032654
                      4,                 1.3324,                 1.4069,                 1.5638,                0.95401,                0.83015,                0.96598,                0.39608,                 1.9244,                 2.5915,                 2.3077,             0.00043268,             0.00043268,             0.00043268
                      5,                 1.2393,                 1.3207,                 1.4778,                0.98104,                   0.92,                0.97203,                0.60577,                 1.4112,                 1.8291,                 1.7484,             0.00053406,             0.00053406,             0.00053406
                      6,                  1.228,                 1.2508,                 1.4355,                0.76795,                   0.96,                0.90047,                0.48414,                 1.5474,                 2.1448,                 2.0944,              0.0006307,              0.0006307,              0.0006307
                      7,                 1.2477,                 1.2588,                 1.4751,                0.91782,                0.89381,                 0.9601,                0.52513,                 1.5246,                 1.9343,                 1.9655,             0.00072258,             0.00072258,             0.00072258
                      8,                 1.2682,                 1.2463,                  1.565,                0.76168,                0.89519,                 0.9188,                0.47271,                 1.6421,                 2.1969,                 1.8202,             0.00080972,             0.00080972,             0.00080972
                      9,                 1.1942,                 1.1867,                 1.4767,                0.79993,                   0.88,                0.83745,                 0.4575,                 1.5696,                 1.9807,                 2.0234,              0.0008921,              0.0008921,              0.0008921
                     10,                 1.1792,                 1.1641,                 1.4565,                0.81904,                0.90556,                0.93285,                0.57312,                 1.3053,                 1.7876,                  1.691,             0.00096972,             0.00096972,             0.00096972
                     11,                 1.1837,                 1.1969,                 1.4255,                0.79001,                0.90327,                0.87126,                0.53298,                 1.4378,                 2.2787,                 1.8763,              0.0010426,              0.0010426,              0.0010426
                     12,                 1.2225,                 1.2028,                 1.4754,                0.88553,                   0.92,                0.94389,                0.53205,                  1.487,                 2.0024,                 1.8503,              0.0011107,              0.0011107,              0.0011107
                     13,                 1.3103,                  1.211,                 1.5163,                0.99592,                   0.84,                 0.9394,                0.56959,                 1.4688,                 2.1136,                 1.8483,              0.0011741,              0.0011741,              0.0011741
                     14,                   1.22,                  1.169,                 1.4663,                0.94547,                   0.76,                0.88176,                0.56002,                 1.3431,                 2.2542,                 1.5843,              0.0012327,              0.0012327,              0.0012327
                     15,                 1.1541,                 1.1275,                 1.4108,                0.90631,                   0.84,                0.95245,                0.53846,                 1.4747,                 1.9093,                 1.6954,              0.0012866,              0.0012866,              0.0012866
                     16,                 1.1777,                 1.0849,                 1.4113,                0.88288,                      1,                0.98149,                0.62543,                 1.3297,                 1.6695,                 1.4825,              0.0013357,              0.0013357,              0.0013357
                     17,                 1.2381,                 1.0688,                 1.4353,                0.89214,                0.99277,                 0.9646,                0.44861,                 1.9358,                 2.1944,                 2.0912,              0.0013664,              0.0013664,              0.0013664
                     18,                  1.352,                 1.1583,                 1.5527,                0.85061,                0.91128,                0.87546,                0.48339,                 1.6174,                 2.0717,                  1.741,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.1822,                 1.0336,                 1.4155,                0.87988,                   0.92,                0.91837,                0.39887,                  1.869,                 1.9107,                 1.9547,              0.0012872,              0.0012872,              0.0012872
                     20,                  1.156,                 1.0239,                  1.394,                0.88448,                0.91884,                0.91614,                 0.4679,                 1.8888,                 2.0448,                 2.2232,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.1521,                 1.0433,                 1.3979,                0.92123,                0.93598,                 0.9724,                0.52107,                 1.6888,                 2.0667,                 1.9062,               0.001208,               0.001208,               0.001208
                     22,                 1.1619,                  1.031,                 1.3648,                0.88634,                0.93615,                0.97541,                0.64147,                 1.2919,                 1.8861,                 1.4234,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.0844,                0.98517,                 1.3367,                0.94553,                   0.92,                0.98222,                0.63696,                 1.2661,                 1.8896,                 1.4504,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.0681,                0.93038,                 1.3215,                0.95851,                   0.96,                0.98197,                0.65774,                 1.3877,                 1.4896,                 1.6671,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.1175,                0.97832,                 1.3502,                0.95368,                   0.96,                0.98278,                 0.6669,                 1.2989,                 1.4403,                 1.5835,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.1656,                0.96645,                 1.4593,                0.92259,                 0.9537,                0.98192,                0.63318,                 1.3427,                 1.4426,                 1.5534,                0.00101,                0.00101,                0.00101
                     27,                 1.1603,                0.96186,                 1.3814,                0.89025,                0.97372,                 0.9843,                0.59787,                 1.4669,                 1.2835,                 1.6605,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.1093,                 0.9287,                 1.3469,                0.95477,                   0.96,                0.99044,                 0.6107,                 1.3693,                 1.1682,                  1.593,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.1539,                0.94739,                 1.3569,                  0.954,                   0.92,                0.94835,                0.53615,                 1.4875,                 1.1754,                  1.729,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.0021,                 0.8555,                 1.2643,                0.94932,                   0.92,                0.95614,                0.47607,                 1.6728,                 1.1283,                 1.8659,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.0515,                0.91035,                 1.3581,                0.95833,                   0.92,                0.95595,                0.53851,                 1.5981,                   1.04,                 1.7085,               0.000812,               0.000812,               0.000812
                     32,                 1.0626,                0.86478,                 1.3177,                0.94794,                   0.92,                0.96929,                0.57666,                 1.5028,                 1.0244,                 1.6454,              0.0007724,              0.0007724,              0.0007724
